# GenAI 候选品牌列表 (按出现频率排序)
# ---------------------------------------
# 请审核此列表以构建您的 BRAND_DICTIONARY。

Roborock (74)
https (53)
技术 (39)
智能 (39)
石头 (33)
功能 (32)
系统 (32)
识别 (31)
Ul (30)
tra (29)
Ecovacs (28)
Dreame (28)
扫地 (26)
清洁 (25)
能力 (25)
科沃斯 (23)
拖布 (21)
Rtings.com (19)
导航 (18)
表现 (17)
激光 (17)
烘干 (17)
吸力 (17)
官网 (17)
宠物 (16)
优势 (15)
高端 (15)
来源 (15)
Max (15)
2024年 (14)
小米 (14)
基站 (14)
OMNI (13)
欧洲 (13)
地毯 (13)
价格 (12)
集尘 (12)
参考 (12)
结构 (12)
cn (12)
T30 (11)
方面 (11)
评价 (10)
路径 (10)
语音 (10)
设计 (10)
评测 (10)
目前 (10)
X2 (9)
Verge (9)
创新 (9)
媒体 (9)
德国 (9)
消费者 (9)
对比 (9)
性能 (9)
Deebot (8)
Best (8)
海外 (8)
生态链 (8)
清扫 (8)
规划 (8)
OMN (8)
北美 (8)
体验 (8)
中高端 (8)
官方 (8)
算法 (8)
数据 (8)
服务 (8)
Xiaomi (7)
亚马逊 (7)
雷达 (7)
中端 (7)
地图 (7)
视觉 (7)
家庭 (7)
Revo (7)
毛发 (7)
Q7 (7)
研发 (7)
口碑 (6)
企业 (6)
之一 (6)
摄像头 (6)
助手 (6)
www.roborock.com (6)
法国 (6)
www.ecovacs (6)
电商 (6)
www.rtings (6)
RGB (6)
智能化 (6)
机型 (6)
家居 (6)
生态 (6)
特点 (6)
L20 (5)
旗舰型号 (5)
Alexa (5)
欢迎 (5)
国际 (5)
渠道 (5)
信息 (5)
模式 (5)
控制 (5)
平台 (5)
避障 (5)
程度 (5)
Narwal (5)
分析 (5)
报告 (5)
S7 (5)
评分 (5)
页面 (5)
评论 (5)
Pa (5)
G20 (5)
电机 (5)
总部 (4)
一体 (4)
美国 (4)
AIV (4)
清洗 (4)
Buy (4)
MaxV (4)
路线 (4)
定位 (4)
核心 (4)
LDS (4)
物体 (4)
障碍物 (4)
高端型 (4)
支持 (4)
测评 (4)
近期 (4)
拖地 (4)
效率 (4)
预算 (4)
结论 (4)
精度 (4)
米家 (4)
2023年 (4)
行业 (4)
www.narwal.com (4)
资料 (4)
布局 (4)
客服 (4)
ECOVACS (4)
缠绕 (4)
地面 (4)
底座 (4)
重点 (4)
自研 (4)
Assistant (3)
Omni (3)
S8 (3)
欧美 (3)
国家 (3)
全球 (3)
2.0 (3)
products (3)
版本 (3)
增长 (3)
榜单 (3)
网站 (3)
T20 (3)
I识 (3)
主打 (3)
